2a,811764
2b,1148929
2c,4239638
2d,2081608
3c,21286546
3d,4600061
3,8164722
4a,2394831
4b,2445220
4c,28754
4d,5364946
4,1237886
5a,5368428
5b,43541702
5c,4628053
5d,114214773
6a,16892639
6b,17772473
6c,23784703
6d,12506237
7a,54140063
7b,29674860
7c,9529289
7d,8606841
8a,786969
8b,64062096
8c,46006536
8d,619124
9a,248430049
9b,85026739
9c,4321948
9d,561722
10a,292491686
10b,48732983
10c,169264165
10d,1042297044
11a,536153076
11b,1147536
11c,49025160
11d,139684456
12a,1728508003
12b,3109087
12c,105602598
12d,4076344935
