2a,1591853
2b,1711743
2c,1446257
2d,960391
3c,691103
3d,975630
3,2670251
4a,2771127
4b,773172
4c,975681
4d,1481428
4,1553063
5a,2621713
5b,1925322
5c,1316463
5d,1884401
6a,1320388
6b,949962
6c,1702110
6d,495571
7a,1770026
7b,1985252
7c,2177503
7d,1828746
8a,275580
8b,2319431
8c,1494091
8d,1598028
9a,417039
9b,2523870
9c,1688064
9d,2637741
10a,431005
10b,769298
10c,1120649
10d,285274
11a,1447410
11b,10753904
11c,2283495
11d,1253190
12a,3756021
12b,1922815
12c,1456423
12d,988933
13c,2971192
13d,1696493
13,684386
14a,926487
14b,2823807
14c,7139633
14d,1409177
14,29269343
15a,491318
15b,3777007
15c,2051849
15d,326767
