2a,1573788
2b,2325468
2c,8002301
2d,493537
3a,29143848
3b,1695825
3c,36545318
3d,1472726
4a,6431603
4b,2338128
4c,225128
4d,6151446
5a,7058170
5b,84048738
5c,1787185
5d,251057677
6a,7081844
6b,32570335
6c,7962399
6d,3237656
7a,19884909
7b,11873086
7c,2195627
7d,6091123
8a,243813714
8b,17348234
8c,8437889
8d,133539403
9a,1344320405
9b,19089173
9c,7582653
9d,207958891
10a,204418578
10b,10469885
10c,1253036232
10d,78559265
11a,76917888
11b,1055452837
11c,57274867
11d,87216235
12a,3368892219
12b,6525556889
12c,32864634
12d,2224366375
