1,7820265,36.00,366,109
10,44982901,103.67,714,19
11,2480100,107.14,789,85
12,0,-nan,703,1
13,438341018,341.25,967,31
14,0,-nan,875,1
15,0,-nan,960,1
16,1883534,39.00,387,64
17,10748361,111.40,602,46
18,0,-nan,104,1
19,0,-nan,302,1
2,26156685,45.50,550,10
20,37291251,80.25,305,31
21,1024988422,98.25,610,31
22,158133082,22.80,459,46
23,6225122,3.17,495,64
24,0,-nan,689,1
25,2555751,18.43,159,85
26,223083882,172.00,586,19
27,132604417,33.43,368,85
28,28889978,26.88,561,109
29,5245875,56.38,452,109
3,0,-nan,149,1
30,0,-nan,272,1
31,4479528,35.00,288,10
32,58555992,139.20,698,46
33,0,-nan,150,1
34,268117436,84.50,945,31
35,118224834,24.00,630,19
36,3733572,13.00,538,46
37,4752574,147.25,637,31
38,0,-nan,60,1
39,0,-nan,504,1
4,0,-nan,645,1
40,117996126,93.50,869,109
41,20577391,12.83,999,64
42,27879675,3.75,419,109
43,3497069,133.60,694,46
44,3519130,143.33,931,64
45,14470021,35.50,288,10
46,1023385,51.60,391,46
47,6500199,77.00,237,19
48,0,-nan,191,1
49,0,-nan,953,1
5,151727831,19.33,570,19
6,3324308,6.29,519,85
7,0,-nan,375,1
8,3374394,5.29,104,85
9,0,-nan,722,1
