2a,595,1776
2b,1429,3020
2c,1455,3857
2d,696,2126
3c,404,2049
3d,645,3249
3,1274,7544
4a,3313,19851
4b,836,11840
4c,663,7780
4d,1266,13051
4,915,5444
5a,1363,32048
5b,1580,18556
5c,864,10571
5d,1435,19521
6a,1211,43832
6b,570,26620
6c,994,39710
6d,374,13888
7a,1398,103040
7b,1208,97424
7c,1461,133984
7d,1682,118942
8a,281,51504
8b,1091,203360
8c,1297,210864
8d,966,153584
9a,279,102144
9b,1880,482496
9c,962,289664
9d,1861,231844
10a,565,483328
10b,658,393216
10c,540,361152
10d,354,307200
11a,850,760320
11b,3431,1312294
11c,1255,1785664
11d,773,1255424
12a,2428,4284672
12b,1036,2886656
12c,753,2470144
12d,933,2671616
13c,1396,5208064
13d,1331,7845888
13,376,2346496
14a,994,10199808
14b,1532,15149440
14c,4128,27004096
14d,863,10462208
14,7460,11275594
15a,522,12937728
15b,2326,29134848
15c,1299,16292992
15d,258,6127616
