gameC1: 7820265,36.00,366,109
gameC10: 44982901,103.67,714,19
gameC11: 2480100,107.14,789,85
gameC12: 0,-nan,703,1
gameC13: 438341018,341.25,967,31
gameC14: 0,-nan,875,1
gameC15: 0,-nan,960,1
gameC16: 1883534,39.00,387,64
gameC17: 10748361,111.40,602,46
gameC18: 0,-nan,104,1
gameC19: 0,-nan,302,1
gameC2: 26156685,45.50,550,10
gameC20: 37291251,80.25,305,31
gameC21: 1024988422,98.25,610,31
gameC22: 158133082,22.80,459,46
gameC23: 6225122,3.17,495,64
gameC24: 0,-nan,689,1
gameC25: 2555751,18.43,159,85
gameC26: 223083882,172.00,586,19
gameC27: 132604417,33.43,368,85
gameC28: 28889978,26.88,561,109
gameC29: 5245875,56.38,452,109
gameC3: 0,-nan,149,1
gameC30: 0,-nan,272,1
gameC31: 4479528,35.00,288,10
gameC32: 58555992,139.20,698,46
gameC33: 0,-nan,150,1
gameC34: 268117436,84.50,945,31
gameC35: 118224834,24.00,630,19
gameC36: 3733572,13.00,538,46
gameC37: 4752574,147.25,637,31
gameC38: 0,-nan,60,1
gameC39: 0,-nan,504,1
gameC4: 0,-nan,645,1
gameC40: 117996126,93.50,869,109
gameC41: 20577391,12.83,999,64
gameC42: 27879675,3.75,419,109
gameC43: 3497069,133.60,694,46
gameC44: 3519130,143.33,931,64
gameC45: 14470021,35.50,288,10
gameC46: 1023385,51.60,391,46
gameC47: 6500199,77.00,237,19
gameC48: 0,-nan,191,1
gameC49: 0,-nan,953,1
gameC5: 151727831,19.33,570,19
gameC6: 3324308,6.29,519,85
gameC7: 0,-nan,375,1
gameC8: 3374394,5.29,104,85
gameC9: 0,-nan,722,1
