2a,275177
2b,829657
2c,3867201
2d,4241225
3c,39432737
3d,16165948
3,2386703
4a,2767069
4b,582574
4c,127209
4d,5667721
4,457430
5a,1736374
5b,7362330
5c,540294
5d,21272306
6a,29038599
6b,13142576
6c,196816380
6d,40041748
7a,103279683
7b,18046287
7c,3185794
7d,12327330
8a,44537529
8b,67469418
8c,96416723
8d,55466759
9a,224247345
9b,92613741
9c,27102404
9d,120446067
10a,55710620
10b,61663194
10c,1099092828
10d,2487853868
11a,898441134
11b,1392756586
11c,104888525
11d,615372947
12a,937332879
12b,8676723646
12c,133457578
12d,908922286
