2a,348820
2b,394397
2c,847588
2d,367024
3c,2579506
3d,903257
3,2010144
4a,1957158
4b,1191042
4c,1004596
4d,2117787
4,766335
5a,3209753
5b,9586145
5c,2358288
5d,15616517
6a,7258515
6b,10081301
6c,11911152
6d,6466925
7a,20361877
7b,13227968
7c,9688712
7d,8945596
8a,52549675
8b,26543835
8c,22251823
8d,44364811
9a,191993203
9b,41521773
9c,38195241
9d,83996056
10a,112316994
10b,89532556
10c,273650792
10d,169062888
11a,216472167
11b,404387852
11c,136710871
11d,156689802
12a,1042479335
12b,1394788053
12c,266263980
12d,1018305533
